currentPrice,previousClose,open,dayLow,dayHigh,bid,dividendYield,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,returnOnAssets,returnOnEquity,bookValue,priceToBook,volume,fiftyTwoWeekRange,marketCap,trailingPE,symbol,timestamp
486.63,493.54,467.415,462.1,505.8451,483.77,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010781245,8006973,395.66 - 539.0,1051023507456,11.794232,BRK-B,2025-04-07 12:20:42.782802
486.55,493.54,467.415,462.1,505.8451,483.83,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010781687,8031059,395.66 - 539.0,1051066695680,11.794717,BRK-B,2025-04-07 12:21:45.175755
486.75,493.54,467.415,462.1,505.8451,483.2,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010783903,8036179,395.66 - 539.0,1051282702336,11.79714,BRK-B,2025-04-07 12:22:47.819806
487.015,493.54,467.415,462.1,505.8451,484.0,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010789775,8042383,395.66 - 539.0,1051855028224,11.803564,BRK-B,2025-04-07 12:23:50.003929
488.1199,493.54,467.415,462.1,505.8451,484.01,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010814253,8054686,395.66 - 539.0,1054241390592,11.830342,BRK-B,2025-04-07 12:24:52.205321
487.47,493.54,467.415,462.1,505.8451,483.49,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010799854,8067444,395.66 - 539.0,1052837740544,11.81459,BRK-B,2025-04-07 12:25:54.313568
488.355,493.54,467.415,462.1,505.8451,484.57,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010819462,8078940,395.66 - 539.0,1054749163520,11.8360405,BRK-B,2025-04-07 12:26:56.499898
488.2378,493.54,467.415,462.1,505.8451,484.42,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010816865,8097946,395.66 - 539.0,1054495997952,11.8331995,BRK-B,2025-04-07 12:27:58.619433
488.07,493.54,467.415,462.1,505.8451,485.55,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010813148,8108647,395.66 - 539.0,1054133649408,11.829133,BRK-B,2025-04-07 12:29:00.890294
489.535,493.54,467.415,462.1,505.8451,485.94,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010845604,8138452,395.66 - 539.0,1057297727488,11.864639,BRK-B,2025-04-07 12:30:03.030200
487.9,493.54,467.415,462.1,505.8451,487.11,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010809381,8155489,395.66 - 539.0,1053766451200,11.825012,BRK-B,2025-04-07 12:31:05.207576
486.38,493.54,467.415,462.1,505.8451,487.11,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010775706,8177092,395.66 - 539.0,1050483556352,11.788173,BRK-B,2025-04-07 12:32:07.316941
486.56,493.54,467.415,462.1,505.8451,486.4,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010779693,8195753,395.66 - 539.0,1050872315904,11.792536,BRK-B,2025-04-07 12:33:09.430761
487.63,493.54,467.415,462.1,505.8451,486.8,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.00108034,8205732,395.66 - 539.0,1053183311872,11.818469,BRK-B,2025-04-07 12:34:12.211411
487.6225,493.54,467.415,462.1,505.8451,486.53,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010803234,8211657,395.66 - 539.0,1053167124480,11.818287,BRK-B,2025-04-07 12:35:14.345118
488.2,493.54,467.415,462.1,505.8451,486.0,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010816028,8231250,395.66 - 539.0,1054414405632,11.832284,BRK-B,2025-04-07 12:36:16.566627
488.9,493.54,467.415,462.1,505.8451,486.18,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010831536,8241210,395.66 - 539.0,1055926255616,11.849249,BRK-B,2025-04-07 12:37:18.891386
